app_name,n_reviews,avg_char_len,p25_char_len,median_char_len,p75_char_len,p95_char_len,avg_word_count,median_word_count,pct_very_short_3_words_or_less
Airbnb,1200,78.445,13.0,32.0,85.0,372.39999999999964,14.51,6.0,34.91666666666667
DoorDash,1200,111.1175,23.0,60.0,147.0,443.04999999999995,21.24416666666667,11.0,19.833333333333332
Duolingo,1200,58.87833333333333,11.0,27.0,64.0,236.14999999999986,11.435833333333333,5.0,37.083333333333336
Instagram,1200,60.8175,8.0,19.0,59.0,317.0,11.120833333333334,4.0,49.166666666666664
Netflix,1200,89.63583333333334,13.0,39.5,119.0,385.14999999999986,16.753333333333334,8.0,31.75
Spotify,1200,81.48583333333333,12.0,33.0,97.0,346.14999999999986,15.8675,6.0,34.333333333333336
TikTok,1200,54.31166666666667,8.0,16.0,47.0,253.19999999999982,10.686666666666667,3.0,53.083333333333336
Uber,1200,75.70833333333333,8.0,20.0,83.0,398.0,14.320833333333333,4.0,48.91666666666667
Walmart,1200,95.48666666666666,19.0,44.0,114.0,418.04999999999995,18.258333333333333,8.0,24.916666666666668
YouTube,1200,42.83166666666666,6.0,12.0,32.0,221.04999999999995,8.36,2.0,61.0
