class,direction,rank,feature,coefficient
positive,opposes_class,10,text__fake,-1.6176039064834455
positive,opposes_class,11,text__terrible,-1.6155650081510335
positive,opposes_class,12,text__aren,-1.5981673199932511
positive,opposes_class,13,text__took,-1.559602993115791
positive,opposes_class,14,text__disgusting,-1.5509412291294664
positive,opposes_class,15,text__removed,-1.5483921108830183
positive,opposes_class,16,text__stupid,-1.5363439285921798
positive,opposes_class,17,text__suddenly,-1.5350016043909727
positive,opposes_class,18,text__used to,-1.5247705812529575
positive,opposes_class,19,text__stop,-1.5181248120490358
positive,opposes_class,20,text__ridiculous,-1.5117825085825247
