issue_indicator,negative,neutral,positive
issue_crash_bug_flag,0.0787092882991556,0.048496009821976674,0.006949270326615705
issue_performance_loading_flag,0.039806996381182146,0.047268262737875995,0.004994788047255038
issue_login_account_flag,0.12444712505026136,0.04604051565377532,0.013594510076441973
issue_payment_billing_flag,0.09991958182549256,0.08901166359729895,0.016157053509381514
issue_ads_flag,0.08112183353437877,0.06322897483118478,0.011944058373870744
issue_update_version_flag,0.07006433453960595,0.06077348066298342,0.013247046560111189
issue_support_service_flag,0.04634097305991154,0.012277470841006752,0.004430159833217512
