weak_sentiment_label,review_count,average_review_char_count,median_review_char_count,average_review_word_count,median_review_word_count,short_review_share,low_signal_share,repeated_text_share,developer_reply_share,any_issue_indicator_share,average_issue_indicator_count,average_review_age_hours,english_likely_share,non_english_likely_share,language_undetermined_share
negative,9948,137.9657217531162,84.0,25.557498994772818,16.0,0.16244471250502612,0.12072778447929232,0.04613992762364294,0.15601125854443104,0.4273220747889023,0.5404101326899879,59.886173803779656,0.8145355850422196,0.02985524728588661,0.15560916767189384
neutral,1629,105.66666666666667,57.0,19.998158379373848,11.0,0.2664211172498465,0.21424186617556784,0.1240024554941682,0.2105586249232658,0.30263965623081646,0.3670963781461019,53.01463290362185,0.7286678944137508,0.030079803560466543,0.24125230202578268
positive,23024,38.423471160528145,15.0,7.225894718554552,3.0,0.5873436414176512,0.4925729673384295,0.3170170257123002,0.11027623349548298,0.06302119527449618,0.07131688672689368,50.29451055420431,0.4621264767199444,0.015722724113968033,0.5221507991660875
