cadence_test,run_id,preceding_collection,collection_interval_mean_hours,collection_interval_min_hours,collection_interval_max_hours,records_fetched,new_database_inserts,duplicates_skipped,new_insert_rate,duplicate_rate,posted_between_collections,older_reviews_surfaced_later,posted_between_rate_of_new_inserts,new_insert_timestamp_min,new_insert_timestamp_max,median_source_lag_hours,wall_clock_runtime_seconds,review_row_growth,database_growth_mb,errors
Cadence Run A,phase2_cadence_runA_twice_daily_test_20260709_210858,Day 3 controlled repeated run,17.16104940138889,17.16079001888889,17.161184809722222,12000,4395,7605,0.36625,0.63375,0,4395,0.0,2026-07-04T15:23:42+00:00,2026-07-08T21:14:19+00:00,24.04008215361111,28.142862796783447,4395,11.76171875,0
Cadence Run B,phase2_cadence_runB_followup_collection_20260714_163017,Run B first collection,14.664605768027775,14.664554145,14.664783497499998,12000,3753,8247,0.31275,0.68725,0,3753,0.0,2026-07-13T01:56:51+00:00,2026-07-13T16:36:13+00:00,24.042507159444447,30.016522645950317,3753,10.59375,0
