app_name,n_reviews,dup_review_id_pct,dup_content_same_app_pct,dup_content_global_pct
Airbnb,1200,0.0,18.166666666666668,22.583333333333332
DoorDash,1200,0.0,5.416666666666667,9.333333333333334
Duolingo,1200,0.0,14.75,19.666666666666664
Instagram,1200,0.0,20.583333333333336,25.833333333333336
Netflix,1200,0.0,14.166666666666666,17.75
Spotify,1200,0.0,14.416666666666666,18.833333333333332
TikTok,1200,0.0,16.083333333333332,20.5
Uber,1200,0.0,28.249999999999996,32.58333333333333
Walmart,1200,0.0,8.833333333333334,12.5
YouTube,1200,0.0,21.083333333333336,25.75
