class,precision,recall,f1_score,support
negative,0.7795983086680761,0.7412060301507538,0.7599175682637815,1990
neutral,0.11526479750778816,0.11384615384615385,0.11455108359133127,325
positive,0.8854896961971532,0.9051031487513572,0.8951890034364262,4605
macro_average,0.5934509341243391,0.5867184442494217,0.5898858850971797,6920
weighted_average,0.8188644139345944,0.8208092485549133,0.8196257837914523,6920
