source,app_name,detected_language,review_count
ios_app_store,TikTok,ko,1
ios_app_store,TikTok,ro,1
ios_app_store,TikTok,tr,1
ios_app_store,TikTok,zh-cn,1
ios_app_store,YouTube,en,1990
ios_app_store,YouTube,so,70
ios_app_store,YouTube,fr,46
ios_app_store,YouTube,unknown,41
ios_app_store,YouTube,af,40
ios_app_store,YouTube,no,26
ios_app_store,YouTube,ca,22
ios_app_store,YouTube,ro,18
ios_app_store,YouTube,sw,18
ios_app_store,YouTube,id,17
ios_app_store,YouTube,sl,15
ios_app_store,YouTube,sv,15
ios_app_store,YouTube,de,14
ios_app_store,YouTube,es,14
ios_app_store,YouTube,cy,13
ios_app_store,YouTube,it,13
ios_app_store,YouTube,nl,13
ios_app_store,YouTube,et,11
ios_app_store,YouTube,ar,10
ios_app_store,YouTube,tl,10
ios_app_store,YouTube,vi,10
ios_app_store,YouTube,ko,8
ios_app_store,YouTube,tr,8
ios_app_store,YouTube,da,7
ios_app_store,YouTube,pt,7
ios_app_store,YouTube,pl,6
ios_app_store,YouTube,zh-cn,6
ios_app_store,YouTube,ru,5
ios_app_store,YouTube,cs,3
ios_app_store,YouTube,fi,3
ios_app_store,YouTube,hr,3
ios_app_store,YouTube,sk,3
ios_app_store,YouTube,hi,2
ios_app_store,YouTube,mr,2
ios_app_store,YouTube,sq,2
ios_app_store,YouTube,bg,1
ios_app_store,YouTube,el,1
ios_app_store,YouTube,hu,1
ios_app_store,YouTube,lt,1
ios_app_store,YouTube,mk,1
ios_app_store,YouTube,ml,1
ios_app_store,YouTube,ne,1
ios_app_store,YouTube,ta,1
ios_app_store,YouTube,uk,1
