source,app_name,detected_language,review_count
ios_app_store,TikTok,ro,1
ios_app_store,TikTok,ur,1
ios_app_store,YouTube,en,1990
ios_app_store,YouTube,so,72
ios_app_store,YouTube,fr,47
ios_app_store,YouTube,unknown,39
ios_app_store,YouTube,af,38
ios_app_store,YouTube,no,27
ios_app_store,YouTube,ca,20
ios_app_store,YouTube,es,18
ios_app_store,YouTube,sw,17
ios_app_store,YouTube,id,16
ios_app_store,YouTube,ro,16
ios_app_store,YouTube,sl,16
ios_app_store,YouTube,sv,16
ios_app_store,YouTube,nl,14
ios_app_store,YouTube,cy,13
ios_app_store,YouTube,de,13
ios_app_store,YouTube,it,13
ios_app_store,YouTube,ar,10
ios_app_store,YouTube,tl,10
ios_app_store,YouTube,et,9
ios_app_store,YouTube,vi,9
ios_app_store,YouTube,da,8
ios_app_store,YouTube,ko,8
ios_app_store,YouTube,tr,8
ios_app_store,YouTube,pt,7
ios_app_store,YouTube,pl,6
ios_app_store,YouTube,ru,6
ios_app_store,YouTube,zh-cn,6
ios_app_store,YouTube,hr,4
ios_app_store,YouTube,cs,3
ios_app_store,YouTube,fi,3
ios_app_store,YouTube,sk,3
ios_app_store,YouTube,sq,3
ios_app_store,YouTube,mr,2
ios_app_store,YouTube,bg,1
ios_app_store,YouTube,el,1
ios_app_store,YouTube,hi,1
ios_app_store,YouTube,hu,1
ios_app_store,YouTube,lt,1
ios_app_store,YouTube,mk,1
ios_app_store,YouTube,ml,1
ios_app_store,YouTube,ne,1
ios_app_store,YouTube,ta,1
ios_app_store,YouTube,uk,1
