source,total_reviews,unique_review_keys,duplicate_rows,failed_requests_or_apps,main_limitation,duplicate_rate
google_play,6000,6000,0,0,Needs repeated runs to confirm freshness and new review capture,0.0
ios_app_store,7000,6899,101,0,Country/page coverage can be inconsistent; some app-country pairs may return empty pages,0.014428571428571428
